index,latitud,longitud,provincia,edad,sexo,motivo_desaparicion,motivo_desaparicion_obs,fecha_desaparicion,situacion_actual,fecha_localizacion,year,month,day,days_gone,age_group,parishId,cantonId,provinceId
10,-0.3418961,-78.432941,PICHINCHA,26,MUJER,SIN_DATO,SIN_DATO,2023-09-17,DESAPARECIDO,NA,2023,9,17,NA,18-35,170550,1705,17
11,0.09009996,-76.88715163,SUCUMBIOS,24,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-05-15,ENCONTRADO,2023-05-16,2023,5,15,1,18-35,210150,2101,21
12,-2.1225293,-80.000135,GUAYAS,28,HOMBRE,FALLECIDO,NO DETERMINADA,2023-03-15,FALLECIDO,2023-03-24,2023,3,15,9,18-35,090150,0901,09
13,-0.3013626,-76.8571063,ORELLANA,4,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-05-16,ENCONTRADO,2023-06-13,2023,5,16,28,12 o menos,220350,2203,22
14,-3.99508483,-79.20476317,LOJA,9,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-01-13,ENCONTRADO,2023-06-13,2023,1,13,151,12 o menos,110150,1101,11
15,-2.21163704,-80.86924048,SANTA ELENA,15,MUJER,SIN_DATO,SIN_DATO,2023-05-17,DESAPARECIDO,NA,2023,5,17,NA,13-17,240150,2401,24
16,-0.14064539,-78.47808482,PICHINCHA,22,HOMBRE,SIN_DATO,SIN_DATO,2023-03-15,DESAPARECIDO,NA,2023,3,15,NA,18-35,170150,1701,17
17,-0.0839886,-78.5087676,PICHINCHA,14,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-07-06,ENCONTRADO,2023-07-10,2023,7,6,4,13-17,170150,1701,17
18,-1.6818039,-78.63154986,CHIMBORAZO,24,MUJER,SIN_DATO,SIN_DATO,2023-05-03,DESAPARECIDO,NA,2023,5,3,NA,18-35,060150,0601,06
19,-2.1258684,-79.9227452,GUAYAS,16,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-03-02,ENCONTRADO,2023-03-20,2023,3,2,18,13-17,090150,0901,09
20,-1.03342382,-77.67009738,NAPO,13,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-06-24,ENCONTRADO,2023-06-29,2023,6,24,5,13-17,150155,1501,15
21,-1.6604411,-78.6563855,CHIMBORAZO,12,HOMBRE,PROBLEMAS FAMILIARES,MALTRATO FISICO,2023-02-09,ENCONTRADO,2023-02-09,2023,2,9,0,12 o menos,060150,0601,06
22,-0.2206225,-78.5049526,PICHINCHA,15,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-05-05,ENCONTRADO,2023-05-18,2023,5,5,13,13-17,170150,1701,17
23,-0.07682713,-78.42786721,PICHINCHA,32,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-06-30,ENCONTRADO,2023-07-08,2023,6,30,8,18-35,170155,1701,17
24,-3.62520406,-78.58438318,ZAMORA CHINCHIPE,47,HOMBRE,FALLECIDO,SUICIDIO,2023-05-01,FALLECIDO,2023-05-10,2023,5,1,9,36-64,190650,1906,19
25,-0.21867203,-78.50517916,PICHINCHA,16,MUJER,SIN_DATO,SIN_DATO,2023-03-17,DESAPARECIDO,NA,2023,3,17,NA,13-17,170150,1701,17
26,0.3475869,-78.1160486,IMBABURA,23,HOMBRE,PROBLEMAS SOCIALES,DELINCUENCIA,2023-03-10,ENCONTRADO,2023-03-16,2023,3,10,6,18-35,100150,1001,10
27,-2.11391357,-79.98889708,GUAYAS,21,MUJER,PROBLEMAS PSICOL�GICOS,DEPRESION,2023-03-18,ENCONTRADO,2023-03-28,2023,3,18,10,18-35,090150,0901,09
28,-0.95853387,-80.74264526,MANABI,17,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-02-26,ENCONTRADO,2023-03-22,2023,2,26,24,13-17,130850,1308,13
29,-0.95853387,-80.74264526,MANABI,2,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-02-26,ENCONTRADO,2023-03-22,2023,2,26,24,12 o menos,130850,1308,13
30,-2.9002728,-79.0345965,AZUAY,13,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-07-21,ENCONTRADO,2023-07-23,2023,7,21,2,13-17,010150,0101,01
31,-2.89018174,-79.02961728,AZUAY,1,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-03-18,ENCONTRADO,2023-04-06,2023,3,18,19,12 o menos,010150,0101,01
32,-2.21619636,-79.90214825,GUAYAS,52,MUJER,SIN_DATO,SIN_DATO,2023-07-06,DESAPARECIDO,NA,2023,7,6,NA,36-64,090150,0901,09
33,-0.84977849,-80.53141594,MANABI,15,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-02-19,ENCONTRADO,2023-02-23,2023,2,19,4,13-17,130153,1301,13
34,-3.47950074,-80.22523482,EL ORO,31,HOMBRE,PROBLEMAS SOCIALES,MIGRACION,2023-05-06,ENCONTRADO,2023-05-19,2023,5,6,13,18-35,070750,0707,07
35,-2.128519,-79.9517914,GUAYAS,7,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-06-05,ENCONTRADO,2023-06-17,2023,6,5,12,12 o menos,090150,0901,09
36,-0.0588262,-78.34551215,PICHINCHA,14,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-09-15,ENCONTRADO,2023-10-03,2023,9,15,18,13-17,170163,1701,17
37,0.5948949,-77.8281514,CARCHI,79,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-03-13,ENCONTRADO,2023-03-22,2023,3,13,9,65 o mas,040550,0405,04
38,-1.48680249,-78.00335439,PASTAZA,13,MUJER,PROBLEMAS ACAD�MICOS,BAJO RENDIMIENTO,2023-07-07,ENCONTRADO,2023-07-08,2023,7,7,1,13-17,160150,1601,16
39,-0.2930405,-78.5497592,PICHINCHA,38,HOMBRE,FALLECIDO,NO DETERMINADA,2023-03-15,FALLECIDO,2023-04-01,2023,3,15,17,36-64,170150,1701,17
40,-2.89328886,-78.9994653,AZUAY,23,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-03-19,ENCONTRADO,2023-03-22,2023,3,19,3,18-35,010150,0101,01
41,-1.0336635,-79.4506989,LOS RIOS,3,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-03-12,ENCONTRADO,2023-03-16,2023,3,12,4,12 o menos,120550,1205,12
42,0.0731181,-80.0513928,MANABI,37,HOMBRE,PROBLEMAS SOCIALES,DELINCUENCIA,2023-01-14,ENCONTRADO,2023-03-22,2023,1,14,67,36-64,131750,1317,13
43,-1.30969307,-78.51090218,TUNGURAHUA,15,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-02-22,ENCONTRADO,2023-03-02,2023,2,22,8,13-17,180550,1805,18
44,-0.2282742,-78.5068873,PICHINCHA,68,MUJER,DISCAPACIDADES Y ENFERMEDADES,ALZHEIMER,2023-05-22,ENCONTRADO,2023-05-23,2023,5,22,1,65 o mas,170150,1701,17
45,-2.06302898,-79.94972714,GUAYAS,16,HOMBRE,SIN_DATO,SIN_DATO,2023-03-18,DESAPARECIDO,NA,2023,3,18,NA,13-17,090150,0901,09
46,0.08180581,-76.87016405,SUCUMBIOS,14,MUJER,PROBLEMAS FAMILIARES,MALTRATO FISICO,2023-02-27,ENCONTRADO,2023-03-01,2023,2,27,2,13-17,210150,2101,21
47,-0.3314841,-78.4254543,PICHINCHA,69,MUJER,DISCAPACIDADES Y ENFERMEDADES,OTRAS ENFERMEDADES MENTALES,2023-03-13,ENCONTRADO,2023-03-24,2023,3,13,11,65 o mas,170550,1705,17
48,0.8043762,-77.72771434,CARCHI,38,HOMBRE,PROBLEMAS SOCIALES,ALCOHOLISMO,2023-05-12,ENCONTRADO,2023-05-22,2023,5,12,10,36-64,040150,0401,04
49,-2.2438091,-79.9066763,GUAYAS,15,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-03-23,ENCONTRADO,2023-03-28,2023,3,23,5,13-17,090150,0901,09
50,0.116667,-79.266667,PICHINCHA,1,HOMBRE,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-01-16,ENCONTRADO,2023-05-18,2023,1,16,122,12 o menos,170950,1709,17
51,-0.204459,-78.3426905,PICHINCHA,16,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-02-08,ENCONTRADO,2023-02-28,2023,2,8,20,13-17,170175,1701,17
52,-1.797673,-80.026285,GUAYAS,52,HOMBRE,SIN_DATO,SIN_DATO,2023-01-29,DESAPARECIDO,NA,2023,1,29,NA,36-64,090654,0906,09
53,-0.27768447,-78.55758901,PICHINCHA,23,HOMBRE,DISCAPACIDADES Y ENFERMEDADES,OTRAS ENFERMEDADES MENTALES,2023-02-07,ENCONTRADO,2023-03-09,2023,2,7,30,18-35,170150,1701,17
54,-2.87178367,-79.06679508,AZUAY,64,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-01-30,ENCONTRADO,2023-03-04,2023,1,30,33,36-64,010165,0101,01
55,0.3552973,-78.1250848,IMBABURA,17,HOMBRE,SIN_DATO,SIN_DATO,2023-02-23,DESAPARECIDO,NA,2023,2,23,NA,13-17,100150,1001,10
56,0.25123144,-76.87599213,SUCUMBIOS,2,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-02-27,ENCONTRADO,2023-06-20,2023,2,27,113,12 o menos,210153,2101,21
57,-3.2637918,-79.9709827,EL ORO,28,MUJER,EXTRAVIADA,PERSONA EXTRAVIADA,2023-09-29,ENCONTRADO,2023-10-03,2023,9,29,4,18-35,070150,0701,07
58,0.3552973,-78.1250848,IMBABURA,17,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-02-04,ENCONTRADO,2023-03-03,2023,2,4,27,13-17,100150,1001,10
59,0.34576683,-78.13592434,IMBABURA,45,MUJER,PROBLEMAS SOCIALES,DELINCUENCIA,2023-02-22,ENCONTRADO,2023-03-04,2023,2,22,10,36-64,100150,1001,10
60,-2.0646512,-79.8926809,GUAYAS,15,MUJER,SIN_DATO,SIN_DATO,2023-03-02,DESAPARECIDO,NA,2023,3,2,NA,13-17,090150,0901,09
61,-2.26935613,-79.75955774,GUAYAS,13,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-01-31,ENCONTRADO,2023-02-05,2023,1,31,5,13-17,090750,0907,09
62,-3.26983551,-79.96440587,EL ORO,17,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-09-06,ENCONTRADO,2023-09-19,2023,9,6,13,13-17,070150,0701,07
63,-0.1044341,-78.4846548,PICHINCHA,14,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-03-27,ENCONTRADO,2023-03-27,2023,3,27,0,13-17,170150,1701,17
64,0.8199273,-77.71331504,CARCHI,17,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-01-12,ENCONTRADO,2023-01-16,2023,1,12,4,13-17,040150,0401,04
65,-2.0145451,-79.9259385,GUAYAS,15,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-01-15,ENCONTRADO,2023-01-17,2023,1,15,2,13-17,090656,0906,09
66,-0.1487946,-78.5064473,PICHINCHA,6,HOMBRE,EXTRAVIADA,PERSONA EXTRAVIADA,2023-09-01,ENCONTRADO,2023-09-01,2023,9,1,0,12 o menos,170150,1701,17
67,-2.88142599,-79.00526814,AZUAY,47,MUJER,PROBLEMAS SOCIALES,DELINCUENCIA,2023-01-17,ENCONTRADO,2023-01-22,2023,1,17,5,36-64,010150,0101,01
68,-1.271952,-78.6207711,TUNGURAHUA,12,MUJER,EXTRAVIADA,PERSONA EXTRAVIADA,2023-01-16,ENCONTRADO,2023-01-19,2023,1,16,3,12 o menos,180150,1801,18
69,-0.18829138,-76.64215118,SUCUMBIOS,13,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-01-24,ENCONTRADO,2023-01-25,2023,1,24,1,13-17,210450,2104,21
70,-3.25847541,-79.95848846,EL ORO,22,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-01-08,ENCONTRADO,2023-01-26,2023,1,8,18,18-35,070150,0701,07
71,0.5948949,-77.8281514,CARCHI,19,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-01-28,ENCONTRADO,2023-01-31,2023,1,28,3,18-35,040550,0405,04
72,0.0015208,-78.2186045,PICHINCHA,2,MUJER,PROBLEMAS FAMILIARES,MALTRATO FISICO,2023-03-11,ENCONTRADO,2023-03-21,2023,3,11,10,12 o menos,170252,1702,17
73,-0.4616728,-76.9931074,ORELLANA,12,HOMBRE,PROBLEMAS FAMILIARES,MALTRATO FISICO,2023-01-26,ENCONTRADO,2023-02-01,2023,1,26,6,12 o menos,220150,2201,22
74,-0.93259508,-77.77341843,NAPO,25,HOMBRE,EXTRAVIADA,PERSONA EXTRAVIADA,2023-01-15,ENCONTRADO,2023-02-01,2023,1,15,17,18-35,150354,1503,15
75,-2.62767924,-80.40004703,GUAYAS,4,HOMBRE,PROBLEMAS FAMILIARES,MALTRATO FISICO,2023-01-24,ENCONTRADO,2023-02-02,2023,1,24,9,12 o menos,092150,0921,09
76,-2.62767924,-80.40004703,GUAYAS,16,MUJER,PROBLEMAS FAMILIARES,MALTRATO FISICO,2023-01-24,ENCONTRADO,2023-02-02,2023,1,24,9,13-17,092150,0921,09
77,-2.62767924,-80.40004703,GUAYAS,40,MUJER,PROBLEMAS FAMILIARES,MALTRATO FISICO,2023-01-24,ENCONTRADO,2023-02-02,2023,1,24,9,36-64,092150,0921,09
78,-0.2127289,-79.1369546,SANTO DOMINGO DE LOS TSACHILAS,23,MUJER,PROBLEMAS SOCIALES,ALCOHOLISMO,2023-01-29,ENCONTRADO,2023-02-01,2023,1,29,3,18-35,230150,2301,23
79,-0.96617922,-79.42054382,LOS RIOS,4,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-02-01,ENCONTRADO,2023-02-02,2023,2,1,1,12 o menos,120555,1205,12
80,-0.72860049,-79.47111598,LOS RIOS,15,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-01-21,ENCONTRADO,2023-02-02,2023,1,21,12,13-17,121050,1210,12
81,-3.24463384,-79.9721539,EL ORO,26,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-01-30,ENCONTRADO,2023-02-03,2023,1,30,4,18-35,070150,0701,07
82,-2.2840098,-79.8847104,GUAYAS,28,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-01-29,ENCONTRADO,2023-02-05,2023,1,29,7,18-35,090150,0901,09
83,-0.1054104,-78.5133372,PICHINCHA,14,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-02-01,ENCONTRADO,2023-02-04,2023,2,1,3,13-17,170150,1701,17
84,-3.25624537,-79.95379046,EL ORO,17,HOMBRE,DISCAPACIDADES Y ENFERMEDADES,RETARDOS MENTALES,2023-01-24,ENCONTRADO,2023-01-24,2023,1,24,0,13-17,070150,0701,07
85,-0.21230709,-78.50266278,PICHINCHA,11,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-01-14,ENCONTRADO,2023-01-28,2023,1,14,14,12 o menos,170150,1701,17
86,-3.47640684,-80.22280228,EL ORO,52,HOMBRE,EXTRAVIADA,PERSONA EXTRAVIADA,2023-02-01,ENCONTRADO,2023-02-06,2023,2,1,5,36-64,070750,0707,07
87,-3.32726864,-79.79608727,EL ORO,40,HOMBRE,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-02-28,ENCONTRADO,2023-03-09,2023,2,28,9,36-64,070950,0709,07
88,1.28340478,-78.83600235,ESMERALDAS,27,MUJER,PROBLEMAS PSICOL�GICOS,PROBLEMAS DE CONDUCTA,2023-01-21,ENCONTRADO,2023-02-07,2023,1,21,17,18-35,080550,0805,08
89,-0.23876086,-79.17232865,SANTO DOMINGO DE LOS TSACHILAS,8,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-02-08,ENCONTRADO,2023-02-08,2023,2,8,0,12 o menos,230150,2301,23
90,0.90186627,-79.68476051,ESMERALDAS,14,MUJER,SIN_DATO,SIN_DATO,2023-02-12,DESAPARECIDO,NA,2023,2,12,NA,13-17,080168,0801,08
91,1.2756605,-78.846488,ESMERALDAS,3,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-02-06,ENCONTRADO,2023-02-10,2023,2,6,4,12 o menos,080550,0805,08
92,-2.250219,-80.920593,SANTA ELENA,1,MUJER,SIN_DATO,SIN_DATO,2023-01-29,DESAPARECIDO,NA,2023,1,29,NA,12 o menos,240352,2403,24
93,-1.03054033,-80.46416759,MANABI,15,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-02-03,ENCONTRADO,2023-02-21,2023,2,3,18,13-17,130150,1301,13
94,-3.24525766,-79.95017177,EL ORO,25,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-01-31,ENCONTRADO,2023-03-01,2023,1,31,29,18-35,070150,0701,07
95,-1.03371019,-80.45318127,MANABI,15,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-02-22,ENCONTRADO,2023-02-23,2023,2,22,1,13-17,130150,1301,13
96,-0.24573551,-79.48220189,MANABI,17,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-09-07,ENCONTRADO,2023-09-13,2023,9,7,6,13-17,130450,1304,13
97,-1.9801726,-79.7555945,GUAYAS,22,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-09-30,ENCONTRADO,2023-10-15,2023,9,30,15,18-35,091651,0916,09
98,-2.9100879,-79.0349661,AZUAY,25,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-04-21,ENCONTRADO,2023-05-18,2023,4,21,27,18-35,010150,0101,01
99,-2.1649251,-79.466697,GUAYAS,25,HOMBRE,SIN_DATO,SIN_DATO,2023-04-19,DESAPARECIDO,NA,2023,4,19,NA,18-35,091250,0912,09
100,-1.00111752,-77.80904895,NAPO,8,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-06-21,ENCONTRADO,2023-10-11,2023,6,21,112,12 o menos,150150,1501,15
101,-3.26526917,-79.95803565,EL ORO,16,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-03-05,ENCONTRADO,2023-03-08,2023,3,5,3,13-17,070150,0701,07
102,-0.4616728,-76.9931074,ORELLANA,60,MUJER,DISCAPACIDADES Y ENFERMEDADES,ALZHEIMER,2023-09-25,ENCONTRADO,2023-10-15,2023,9,25,20,36-64,220150,2201,22
103,-2.1323186,-79.8926809,GUAYAS,14,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-03-08,ENCONTRADO,2023-03-10,2023,3,8,2,13-17,090150,0901,09
104,-0.4616728,-76.9931074,ORELLANA,7,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-08-17,ENCONTRADO,2023-10-15,2023,8,17,59,12 o menos,220150,2201,22
105,-3.25099267,-79.9442594,EL ORO,24,HOMBRE,PROBLEMAS SOCIALES,DELINCUENCIA,2023-04-21,ENCONTRADO,2023-04-25,2023,4,21,4,18-35,070150,0701,07
106,-0.12233445,-78.48502787,PICHINCHA,12,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-03-04,ENCONTRADO,2023-04-06,2023,3,4,33,12 o menos,170150,1701,17
107,-0.952035,-80.459198,MANABI,1,HOMBRE,SIN_DATO,SIN_DATO,2023-04-25,DESAPARECIDO,NA,2023,4,25,NA,12 o menos,131250,1312,13
108,-0.21929411,-78.51364906,PICHINCHA,22,HOMBRE,SIN_DATO,SIN_DATO,2023-09-11,DESAPARECIDO,NA,2023,9,11,NA,18-35,170150,1701,17
109,-2.9001285,-79.0058965,AZUAY,37,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-04-25,ENCONTRADO,2023-05-26,2023,4,25,31,36-64,010150,0101,01
110,-1.05352205,-77.54830221,NAPO,21,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-03-05,ENCONTRADO,2023-03-09,2023,3,5,4,18-35,150151,1501,15
111,-3.48133347,-80.24296706,EL ORO,54,HOMBRE,FALLECIDO,ACCIDENTAL,2023-03-23,FALLECIDO,2023-04-25,2023,3,23,33,36-64,070750,0707,07
112,0.82305984,-77.70718862,CARCHI,23,HOMBRE,FALLECIDO,NO DETERMINADA,2023-07-07,FALLECIDO,2023-09-13,2023,7,7,68,18-35,040150,0401,04
113,0.3471469,-78.1323648,IMBABURA,29,HOMBRE,PROBLEMAS SOCIALES,MIGRACION,2023-02-12,ENCONTRADO,2023-04-25,2023,2,12,72,18-35,100150,1001,10
114,-3.25466457,-79.96235847,EL ORO,25,HOMBRE,PROBLEMA EC�NOMICOS,DEUDAS,2023-03-07,ENCONTRADO,2023-03-10,2023,3,7,3,18-35,070150,0701,07
115,-4.0282595,-79.2088096,LOJA,36,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-03-31,ENCONTRADO,2023-04-05,2023,3,31,5,36-64,110150,1101,11
116,0.3281312,-78.12206,IMBABURA,16,HOMBRE,SIN_DATO,SIN_DATO,2023-04-22,DESAPARECIDO,NA,2023,4,22,NA,13-17,100150,1001,10
117,0.533362,-79.5227688,ESMERALDAS,31,HOMBRE,SIN_DATO,SIN_DATO,2023-03-28,DESAPARECIDO,NA,2023,3,28,NA,18-35,080451,0804,08
118,0.533362,-79.5227688,ESMERALDAS,45,HOMBRE,SIN_DATO,SIN_DATO,2023-03-28,DESAPARECIDO,NA,2023,3,28,NA,36-64,080451,0804,08
119,-0.23905615,-78.51046108,PICHINCHA,18,MUJER,PROBLEMA EC�NOMICOS,DEUDAS,2023-03-31,ENCONTRADO,2023-04-28,2023,3,31,28,18-35,170150,1701,17
120,-0.25876763,-78.55811298,PICHINCHA,14,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-03-31,ENCONTRADO,2023-04-02,2023,3,31,2,13-17,170150,1701,17
121,-2.12665212,-79.91882962,GUAYAS,12,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-07-22,ENCONTRADO,2023-07-24,2023,7,22,2,12 o menos,090150,0901,09
122,-2.2433865,-79.8895317,GUAYAS,77,HOMBRE,DISCAPACIDADES Y ENFERMEDADES,ALZHEIMER,2023-03-11,ENCONTRADO,2023-03-26,2023,3,11,15,65 o mas,090150,0901,09
123,-2.22943637,-79.93449252,GUAYAS,15,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-07-07,ENCONTRADO,2023-07-09,2023,7,7,2,13-17,090150,0901,09
124,-0.27027045,-79.0420758,SANTO DOMINGO DE LOS TSACHILAS,18,HOMBRE,SIN_DATO,SIN_DATO,2023-06-27,DESAPARECIDO,NA,2023,6,27,NA,18-35,230151,2301,23
125,-0.2061797,-78.5008136,PICHINCHA,16,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-03-10,ENCONTRADO,2023-03-18,2023,3,10,8,13-17,170150,1701,17
126,-2.8870218,-78.9641763,AZUAY,3,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-06-04,ENCONTRADO,2023-06-20,2023,6,4,16,12 o menos,010150,0101,01
127,-2.8870218,-78.9641763,AZUAY,1,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-06-04,ENCONTRADO,2023-06-20,2023,6,4,16,12 o menos,010150,0101,01
128,-1.3128375,-78.5064473,TUNGURAHUA,15,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-03-06,ENCONTRADO,2023-03-13,2023,3,6,7,13-17,180550,1805,18
129,-0.9818012,-80.68748692,MANABI,12,MUJER,SIN_DATO,SIN_DATO,2023-07-05,DESAPARECIDO,NA,2023,7,5,NA,12 o menos,130850,1308,13
130,-1.67127269,-78.653761,CHIMBORAZO,20,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-03-11,ENCONTRADO,2023-03-13,2023,3,11,2,18-35,060150,0601,06
131,-0.1806532,-78.4678382,PICHINCHA,2,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-04-25,ENCONTRADO,2023-05-10,2023,4,25,15,12 o menos,170150,1701,17
132,-2.1646174,-79.83019428,GUAYAS,37,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-07-01,ENCONTRADO,2023-07-24,2023,7,1,23,36-64,090750,0907,09
