"provincia","latitud","longitud","edad","sexo","motivo_desaparicion","motivo_desaparicion_obs","fecha_desaparicion","situacion_actual","fecha_localizacion","year","month","day","days_gone","age_group"
"CHIMBORAZO",-1.6604411,-78.6563855,12,"HOMBRE","PROBLEMAS FAMILIARES","MALTRATO FISICO",2023-02-09,"ENCONTRADO",2023-02-09,2023,2,9,0,"12 o menos"
"PICHINCHA",-0.2206225,-78.5049526,15,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-05-05,"ENCONTRADO",2023-05-18,2023,5,5,13,"13-17"
"ZAMORA CHINCHIPE",-3.62520406,-78.58438318,47,"HOMBRE","FALLECIDO","SUICIDIO",2023-05-01,"FALLECIDO",2023-05-10,2023,5,1,9,"36-64"
"PICHINCHA",-0.21867203,-78.50517916,16,"MUJER","SIN_DATO","SIN_DATO",2023-03-17,"DESAPARECIDO",NA,2023,3,17,NA,"13-17"
"IMBABURA",0.3475869,-78.1160486,23,"HOMBRE","PROBLEMAS SOCIALES","DELINCUENCIA",2023-03-10,"ENCONTRADO",2023-03-16,2023,3,10,6,"18-35"
"GUAYAS",-2.11391357,-79.98889708,21,"MUJER","PROBLEMAS PSICOLÓGICOS","DEPRESION",2023-03-18,"ENCONTRADO",2023-03-28,2023,3,18,10,"18-35"
"MANABI",-0.95853387,-80.74264526,17,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-02-26,"ENCONTRADO",2023-03-22,2023,2,26,24,"13-17"
"MANABI",-0.95853387,-80.74264526,2,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-02-26,"ENCONTRADO",2023-03-22,2023,2,26,24,"12 o menos"
"AZUAY",-2.89018174,-79.02961728,1,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-03-18,"ENCONTRADO",2023-04-06,2023,3,18,19,"12 o menos"
"MANABI",-0.84977849,-80.53141594,15,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-02-19,"ENCONTRADO",2023-02-23,2023,2,19,4,"13-17"
"EL ORO",-3.47950074,-80.22523482,31,"HOMBRE","PROBLEMAS SOCIALES","MIGRACION",2023-05-06,"ENCONTRADO",2023-05-19,2023,5,6,13,"18-35"
"CARCHI",0.5948949,-77.8281514,79,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-03-13,"ENCONTRADO",2023-03-22,2023,3,13,9,"65 o mas"
"PICHINCHA",-0.2930405,-78.5497592,38,"HOMBRE","FALLECIDO","NO DETERMINADA",2023-03-15,"FALLECIDO",2023-04-01,2023,3,15,17,"36-64"
"AZUAY",-2.89328886,-78.9994653,23,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-19,"ENCONTRADO",2023-03-22,2023,3,19,3,"18-35"
"LOS RIOS",-1.0336635,-79.4506989,3,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-12,"ENCONTRADO",2023-03-16,2023,3,12,4,"12 o menos"
"MANABI",0.0731181,-80.0513928,37,"HOMBRE","PROBLEMAS SOCIALES","DELINCUENCIA",2023-01-14,"ENCONTRADO",2023-03-22,2023,1,14,67,"36-64"
"TUNGURAHUA",-1.30969307,-78.51090218,15,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-02-22,"ENCONTRADO",2023-03-02,2023,2,22,8,"13-17"
"PICHINCHA",-0.2282742,-78.5068873,68,"MUJER","DISCAPACIDADES Y ENFERMEDADES","ALZHEIMER",2023-05-22,"ENCONTRADO",2023-05-23,2023,5,22,1,"65 o mas"
"GUAYAS",-2.06302898,-79.94972714,16,"HOMBRE","SIN_DATO","SIN_DATO",2023-03-18,"DESAPARECIDO",NA,2023,3,18,NA,"13-17"
"SUCUMBIOS",0.08180581,-76.87016405,14,"MUJER","PROBLEMAS FAMILIARES","MALTRATO FISICO",2023-02-27,"ENCONTRADO",2023-03-01,2023,2,27,2,"13-17"
"PICHINCHA",-0.3314841,-78.4254543,69,"MUJER","DISCAPACIDADES Y ENFERMEDADES","OTRAS ENFERMEDADES MENTALES",2023-03-13,"ENCONTRADO",2023-03-24,2023,3,13,11,"65 o mas"
"CARCHI",0.8043762,-77.72771434,38,"HOMBRE","PROBLEMAS SOCIALES","ALCOHOLISMO",2023-05-12,"ENCONTRADO",2023-05-22,2023,5,12,10,"36-64"
"GUAYAS",-2.2438091,-79.9066763,15,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-23,"ENCONTRADO",2023-03-28,2023,3,23,5,"13-17"
"PICHINCHA",0.116667,-79.266667,1,"HOMBRE","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-01-16,"ENCONTRADO",2023-05-18,2023,1,16,122,"12 o menos"
"PICHINCHA",-0.204459,-78.3426905,16,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-02-08,"ENCONTRADO",2023-02-28,2023,2,8,20,"13-17"
"GUAYAS",-1.797673,-80.026285,52,"HOMBRE","SIN_DATO","SIN_DATO",2023-01-29,"DESAPARECIDO",NA,2023,1,29,NA,"36-64"
"PICHINCHA",-0.27768447,-78.55758901,23,"HOMBRE","DISCAPACIDADES Y ENFERMEDADES","OTRAS ENFERMEDADES MENTALES",2023-02-07,"ENCONTRADO",2023-03-09,2023,2,7,30,"18-35"
"AZUAY",-2.87178367,-79.06679508,64,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-30,"ENCONTRADO",2023-03-04,2023,1,30,33,"36-64"
"IMBABURA",0.3552973,-78.1250848,17,"HOMBRE","SIN_DATO","SIN_DATO",2023-02-23,"DESAPARECIDO",NA,2023,2,23,NA,"13-17"
"SUCUMBIOS",0.25123144,-76.87599213,2,"MUJER","SIN_DATO","SIN_DATO",2023-02-27,"DESAPARECIDO",NA,2023,2,27,NA,"12 o menos"
"IMBABURA",0.3552973,-78.1250848,17,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-02-04,"ENCONTRADO",2023-03-03,2023,2,4,27,"13-17"
"IMBABURA",0.34576683,-78.13592434,45,"MUJER","PROBLEMAS SOCIALES","DELINCUENCIA",2023-02-22,"ENCONTRADO",2023-03-04,2023,2,22,10,"36-64"
"GUAYAS",-2.0646512,-79.8926809,15,"MUJER","SIN_DATO","SIN_DATO",2023-03-02,"DESAPARECIDO",NA,2023,3,2,NA,"13-17"
"GUAYAS",-2.26935613,-79.75955774,13,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-31,"ENCONTRADO",2023-02-05,2023,1,31,5,"13-17"
"PICHINCHA",-0.1044341,-78.4846548,14,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-03-27,"ENCONTRADO",2023-03-27,2023,3,27,0,"13-17"
"CARCHI",0.8199273,-77.71331504,17,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-12,"ENCONTRADO",2023-01-16,2023,1,12,4,"13-17"
"GUAYAS",-2.0145451,-79.9259385,15,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-01-15,"ENCONTRADO",2023-01-17,2023,1,15,2,"13-17"
"AZUAY",-2.88142599,-79.00526814,47,"MUJER","PROBLEMAS SOCIALES","DELINCUENCIA",2023-01-17,"ENCONTRADO",2023-01-22,2023,1,17,5,"36-64"
"TUNGURAHUA",-1.271952,-78.6207711,12,"MUJER","EXTRAVIADA","PERSONA EXTRAVIADA",2023-01-16,"ENCONTRADO",2023-01-19,2023,1,16,3,"12 o menos"
"SUCUMBIOS",-0.18829138,-76.64215118,13,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-01-24,"ENCONTRADO",2023-01-25,2023,1,24,1,"13-17"
"EL ORO",-3.25847541,-79.95848846,22,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-08,"ENCONTRADO",2023-01-26,2023,1,8,18,"18-35"
"CARCHI",0.5948949,-77.8281514,19,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-28,"ENCONTRADO",2023-01-31,2023,1,28,3,"18-35"
"PICHINCHA",0.0015208,-78.2186045,2,"MUJER","PROBLEMAS FAMILIARES","MALTRATO FISICO",2023-03-11,"ENCONTRADO",2023-03-21,2023,3,11,10,"12 o menos"
"ORELLANA",-0.4616728,-76.9931074,12,"HOMBRE","PROBLEMAS FAMILIARES","MALTRATO FISICO",2023-01-26,"ENCONTRADO",2023-02-01,2023,1,26,6,"12 o menos"
"NAPO",-0.93259508,-77.77341843,25,"HOMBRE","EXTRAVIADA","PERSONA EXTRAVIADA",2023-01-15,"ENCONTRADO",2023-02-01,2023,1,15,17,"18-35"
"GUAYAS",-2.62767924,-80.40004703,4,"HOMBRE","PROBLEMAS FAMILIARES","MALTRATO FISICO",2023-01-24,"ENCONTRADO",2023-02-02,2023,1,24,9,"12 o menos"
"GUAYAS",-2.62767924,-80.40004703,16,"MUJER","PROBLEMAS FAMILIARES","MALTRATO FISICO",2023-01-24,"ENCONTRADO",2023-02-02,2023,1,24,9,"13-17"
"GUAYAS",-2.62767924,-80.40004703,40,"MUJER","PROBLEMAS FAMILIARES","MALTRATO FISICO",2023-01-24,"ENCONTRADO",2023-02-02,2023,1,24,9,"36-64"
"SANTO DOMINGO DE LOS TSACHILAS",-0.2127289,-79.1369546,23,"MUJER","PROBLEMAS SOCIALES","ALCOHOLISMO",2023-01-29,"ENCONTRADO",2023-02-01,2023,1,29,3,"18-35"
"LOS RIOS",-0.96617922,-79.42054382,4,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-02-01,"ENCONTRADO",2023-02-02,2023,2,1,1,"12 o menos"
"LOS RIOS",-0.72860049,-79.47111598,15,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-01-21,"ENCONTRADO",2023-02-02,2023,1,21,12,"13-17"
"EL ORO",-3.24463384,-79.9721539,26,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-30,"ENCONTRADO",2023-02-03,2023,1,30,4,"18-35"
"GUAYAS",-2.2840098,-79.8847104,28,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-29,"ENCONTRADO",2023-02-05,2023,1,29,7,"18-35"
"PICHINCHA",-0.1054104,-78.5133372,14,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-02-01,"ENCONTRADO",2023-02-04,2023,2,1,3,"13-17"
"EL ORO",-3.25624537,-79.95379046,17,"HOMBRE","DISCAPACIDADES Y ENFERMEDADES","RETARDOS MENTALES",2023-01-24,"ENCONTRADO",2023-01-24,2023,1,24,0,"13-17"
"PICHINCHA",-0.21230709,-78.50266278,11,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-14,"ENCONTRADO",2023-01-28,2023,1,14,14,"12 o menos"
"EL ORO",-3.47640684,-80.22280228,52,"HOMBRE","EXTRAVIADA","PERSONA EXTRAVIADA",2023-02-01,"ENCONTRADO",2023-02-06,2023,2,1,5,"36-64"
"EL ORO",-3.32726864,-79.79608727,40,"HOMBRE","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-02-28,"ENCONTRADO",2023-03-09,2023,2,28,9,"36-64"
"ESMERALDAS",1.28340478,-78.83600235,27,"MUJER","PROBLEMAS PSICOLÓGICOS","PROBLEMAS DE CONDUCTA",2023-01-21,"ENCONTRADO",2023-02-07,2023,1,21,17,"18-35"
"SANTO DOMINGO DE LOS TSACHILAS",-0.23876086,-79.17232865,8,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-02-08,"ENCONTRADO",2023-02-08,2023,2,8,0,"12 o menos"
"ESMERALDAS",0.90186627,-79.68476051,14,"MUJER","SIN_DATO","SIN_DATO",2023-02-12,"DESAPARECIDO",NA,2023,2,12,NA,"13-17"
"ESMERALDAS",1.2756605,-78.846488,3,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-02-06,"ENCONTRADO",2023-02-10,2023,2,6,4,"12 o menos"
"SANTA ELENA",-2.250219,-80.920593,1,"MUJER","SIN_DATO","SIN_DATO",2023-01-29,"DESAPARECIDO",NA,2023,1,29,NA,"12 o menos"
"MANABI",-1.03054033,-80.46416759,15,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-02-03,"ENCONTRADO",2023-02-21,2023,2,3,18,"13-17"
"EL ORO",-3.24525766,-79.95017177,25,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-31,"ENCONTRADO",2023-03-01,2023,1,31,29,"18-35"
"MANABI",-1.03371019,-80.45318127,15,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-02-22,"ENCONTRADO",2023-02-23,2023,2,22,1,"13-17"
"AZUAY",-2.9100879,-79.0349661,25,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-04-21,"ENCONTRADO",2023-05-18,2023,4,21,27,"18-35"
"GUAYAS",-2.1649251,-79.466697,25,"HOMBRE","SIN_DATO","SIN_DATO",2023-04-19,"DESAPARECIDO",NA,2023,4,19,NA,"18-35"
"EL ORO",-3.26526917,-79.95803565,16,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-03-05,"ENCONTRADO",2023-03-08,2023,3,5,3,"13-17"
"GUAYAS",-2.1323186,-79.8926809,14,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-03-08,"ENCONTRADO",2023-03-10,2023,3,8,2,"13-17"
"EL ORO",-3.25099267,-79.9442594,24,"HOMBRE","PROBLEMAS SOCIALES","DELINCUENCIA",2023-04-21,"ENCONTRADO",2023-04-25,2023,4,21,4,"18-35"
"PICHINCHA",-0.12233445,-78.48502787,12,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-04,"ENCONTRADO",2023-04-06,2023,3,4,33,"12 o menos"
"MANABI",-0.952035,-80.459198,1,"HOMBRE","SIN_DATO","SIN_DATO",2023-04-25,"DESAPARECIDO",NA,2023,4,25,NA,"12 o menos"
"AZUAY",-2.9001285,-79.0058965,37,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-04-25,"ENCONTRADO",2023-05-26,2023,4,25,31,"36-64"
"NAPO",-1.05352205,-77.54830221,21,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-03-05,"ENCONTRADO",2023-03-09,2023,3,5,4,"18-35"
"EL ORO",-3.48133347,-80.24296706,54,"HOMBRE","FALLECIDO","ACCIDENTAL",2023-03-23,"FALLECIDO",2023-04-25,2023,3,23,33,"36-64"
"IMBABURA",0.3471469,-78.1323648,29,"HOMBRE","PROBLEMAS SOCIALES","MIGRACION",2023-02-12,"ENCONTRADO",2023-04-25,2023,2,12,72,"18-35"
"EL ORO",-3.25466457,-79.96235847,25,"HOMBRE","PROBLEMA ECÓNOMICOS","DEUDAS",2023-03-07,"ENCONTRADO",2023-03-10,2023,3,7,3,"18-35"
"LOJA",-4.0282595,-79.2088096,36,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-03-31,"ENCONTRADO",2023-04-05,2023,3,31,5,"36-64"
"IMBABURA",0.3281312,-78.12206,16,"HOMBRE","SIN_DATO","SIN_DATO",2023-04-22,"DESAPARECIDO",NA,2023,4,22,NA,"13-17"
"ESMERALDAS",0.533362,-79.5227688,31,"HOMBRE","SIN_DATO","SIN_DATO",2023-03-28,"DESAPARECIDO",NA,2023,3,28,NA,"18-35"
"ESMERALDAS",0.533362,-79.5227688,45,"HOMBRE","SIN_DATO","SIN_DATO",2023-03-28,"DESAPARECIDO",NA,2023,3,28,NA,"36-64"
"PICHINCHA",-0.23905615,-78.51046108,18,"MUJER","PROBLEMA ECÓNOMICOS","DEUDAS",2023-03-31,"ENCONTRADO",2023-04-28,2023,3,31,28,"18-35"
"PICHINCHA",-0.25876763,-78.55811298,14,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-03-31,"ENCONTRADO",2023-04-02,2023,3,31,2,"13-17"
"GUAYAS",-2.2433865,-79.8895317,77,"HOMBRE","DISCAPACIDADES Y ENFERMEDADES","ALZHEIMER",2023-03-11,"ENCONTRADO",2023-03-26,2023,3,11,15,"65 o mas"
"PICHINCHA",-0.2061797,-78.5008136,16,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-10,"ENCONTRADO",2023-03-18,2023,3,10,8,"13-17"
"TUNGURAHUA",-1.3128375,-78.5064473,15,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-06,"ENCONTRADO",2023-03-13,2023,3,6,7,"13-17"
"CHIMBORAZO",-1.67127269,-78.653761,20,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-11,"ENCONTRADO",2023-03-13,2023,3,11,2,"18-35"
"PICHINCHA",-0.1806532,-78.4678382,2,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-04-25,"ENCONTRADO",2023-05-10,2023,4,25,15,"12 o menos"
"GUAYAS",-2.31421989,-79.29798491,28,"HOMBRE","SIN_DATO","SIN_DATO",2023-03-13,"DESAPARECIDO",NA,2023,3,13,NA,"18-35"
"GUAYAS",-1.87445,-80.08497,27,"HOMBRE","FALLECIDO","NO DETERMINADA",2023-03-10,"FALLECIDO",2023-03-15,2023,3,10,5,"18-35"
"GUAYAS",-2.1690192,-79.8058407,25,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-04-05,"ENCONTRADO",2023-05-02,2023,4,5,27,"18-35"
"PICHINCHA",-0.2803692,-78.5412403,34,"HOMBRE","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-02-02,"ENCONTRADO",2023-03-30,2023,2,2,56,"18-35"
"PICHINCHA",-0.1407541,-78.4794568,17,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-02-25,"ENCONTRADO",2023-03-15,2023,2,25,18,"13-17"
"EL ORO",-3.47024269,-79.90476608,23,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-07,"ENCONTRADO",2023-05-10,2023,3,7,64,"18-35"
"GUAYAS",-2.1421389,-79.59145211,25,"HOMBRE","FALLECIDO","ACCIDENTAL",2023-04-28,"FALLECIDO",2023-05-01,2023,4,28,3,"18-35"
"IMBABURA",0.36012314,-78.09260654,1,"HOMBRE","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-04-04,"ENCONTRADO",2023-04-04,2023,4,4,0,"12 o menos"
"CARCHI",0.80455043,-77.72784233,26,"HOMBRE","SIN_DATO","SIN_DATO",2023-05-14,"DESAPARECIDO",NA,2023,5,14,NA,"18-35"
"IMBABURA",0.34548863,-78.12106301,16,"HOMBRE","SIN_DATO","SIN_DATO",2023-04-01,"DESAPARECIDO",NA,2023,4,1,NA,"13-17"
"EL ORO",-3.25881966,-79.9593231,20,"HOMBRE","SIN_DATO","SIN_DATO",2023-04-30,"DESAPARECIDO",NA,2023,4,30,NA,"18-35"
"PICHINCHA",-0.1114513,-78.432246,14,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-04-03,"ENCONTRADO",2023-04-07,2023,4,3,4,"13-17"
"AZUAY",-2.979583,-79.6848909,20,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-11,"ENCONTRADO",2023-05-30,2023,1,11,139,"18-35"
"PICHINCHA",-0.2331962,-78.5323021,1,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-04-17,"ENCONTRADO",2023-05-05,2023,4,17,18,"12 o menos"
"SANTA ELENA",-1.7596823,-80.7699552,81,"MUJER","SIN_DATO","SIN_DATO",2023-04-23,"DESAPARECIDO",NA,2023,4,23,NA,"65 o mas"
"COTOPAXI",-0.93407611,-78.61441012,12,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-05-10,"ENCONTRADO",2023-05-16,2023,5,10,6,"12 o menos"
"GUAYAS",-2.16212729,-79.8435145,14,"MUJER","SIN_DATO","SIN_DATO",2023-04-04,"DESAPARECIDO",NA,2023,4,4,NA,"13-17"
"MANABI",-0.9676405,-80.6771487,30,"HOMBRE","SIN_DATO","SIN_DATO",2023-05-18,"DESAPARECIDO",NA,2023,5,18,NA,"18-35"
"GUAYAS",-2.194363,-79.9023082,17,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-05-14,"ENCONTRADO",2023-05-16,2023,5,14,2,"13-17"
"CARCHI",0.82232453,-77.70438416,16,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-04-17,"ENCONTRADO",2023-05-03,2023,4,17,16,"13-17"
"GUAYAS",-2.242985,-79.9189204,22,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-17,"ENCONTRADO",2023-04-06,2023,1,17,79,"18-35"
"PICHINCHA",0.0045685,-78.4467745,14,"HOMBRE","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-02-18,"ENCONTRADO",2023-04-06,2023,2,18,47,"13-17"
"GUAYAS",-2.14728668,-79.88481739,26,"HOMBRE","PROBLEMAS SOCIALES","MIGRACION",2023-03-10,"ENCONTRADO",2023-05-10,2023,3,10,61,"18-35"
"GUAYAS",-2.14728668,-79.88481739,25,"MUJER","PROBLEMAS SOCIALES","MIGRACION",2023-03-10,"ENCONTRADO",2023-05-10,2023,3,10,61,"18-35"
"GUAYAS",-2.14728668,-79.88481739,6,"MUJER","PROBLEMAS SOCIALES","MIGRACION",2023-03-10,"ENCONTRADO",2023-05-10,2023,3,10,61,"12 o menos"
"PICHINCHA",-0.2582261,-78.5260302,16,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-04-21,"ENCONTRADO",2023-05-04,2023,4,21,13,"13-17"
"PICHINCHA",-0.10138997,-78.46988352,39,"MUJER","SIN_DATO","SIN_DATO",2023-04-20,"DESAPARECIDO",NA,2023,4,20,NA,"36-64"
"PICHINCHA",-0.155602,-78.3728456,14,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-04-11,"ENCONTRADO",2023-05-02,2023,4,11,21,"13-17"
"GUAYAS",-2.1836851,-79.5146441,16,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-05-04,"ENCONTRADO",2023-05-18,2023,5,4,14,"13-17"
"GUAYAS",-2.1287968,-79.6039683,18,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-05-04,"ENCONTRADO",2023-05-06,2023,5,4,2,"18-35"
"EL ORO",-3.26935304,-79.95556263,11,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-04-06,"ENCONTRADO",2023-04-07,2023,4,6,1,"12 o menos"
"GUAYAS",-2.1790913,-79.8762335,30,"HOMBRE","PROBLEMAS SOCIALES","DELINCUENCIA",2023-05-04,"ENCONTRADO",2023-05-20,2023,5,4,16,"18-35"
"PICHINCHA",-0.25,-78.5,55,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-05-04,"ENCONTRADO",2023-05-05,2023,5,4,1,"36-64"
"GUAYAS",-2.2615303,-79.8832328,69,"HOMBRE","SIN_DATO","SIN_DATO",2023-05-02,"DESAPARECIDO",NA,2023,5,2,NA,"65 o mas"
"PICHINCHA",-0.2797677,-78.5149691,28,"MUJER","PROBLEMAS FAMILIARES","MALTRATO FISICO",2023-05-05,"ENCONTRADO",2023-05-19,2023,5,5,14,"18-35"
"PICHINCHA",-0.2797677,-78.5149691,10,"MUJER","PROBLEMAS FAMILIARES","MALTRATO FISICO",2023-05-05,"ENCONTRADO",2023-05-19,2023,5,5,14,"12 o menos"
"PICHINCHA",-0.2797677,-78.5149691,3,"MUJER","PROBLEMAS FAMILIARES","MALTRATO FISICO",2023-05-05,"ENCONTRADO",2023-05-19,2023,5,5,14,"12 o menos"
"CARCHI",0.8195362,-77.713732,17,"MUJER","SIN_DATO","SIN_DATO",2023-05-01,"DESAPARECIDO",NA,2023,5,1,NA,"13-17"
