Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
PICHINCHA;-0,22062250;-78,50495260;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;05/05/2023;ENCONTRADO;18/05/2023
ZAMORA CHINCHIPE;-3,62520406;-78,58438318;47;HOMBRE;FALLECIDO;SUICIDIO;01/05/2023;FALLECIDO;10/05/2023
PICHINCHA;-0,21867203;-78,50517916;16;MUJER;SIN_DATO;SIN_DATO;17/03/2023;DESAPARECIDO;SIN_DATO
IMBABURA;0,34758690;-78,11604860;23;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;10/03/2023;ENCONTRADO;16/03/2023
GUAYAS;-2,11391357;-79,98889708;21;MUJER;PROBLEMAS PSICOLÓGICOS;DEPRESION;18/03/2023;ENCONTRADO;28/03/2023
MANABI;-0,95853387;-80,74264526;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;26/02/2023;ENCONTRADO;22/03/2023
MANABI;-0,95853387;-80,74264526;2;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;26/02/2023;ENCONTRADO;22/03/2023
AZUAY;-2,89018174;-79,02961728;1;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;18/03/2023;ENCONTRADO;06/04/2023
MANABI;-0,84977849;-80,53141594;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;19/02/2023;ENCONTRADO;23/02/2023
EL ORO;-3,47950074;-80,22523482;31;HOMBRE;PROBLEMAS SOCIALES;MIGRACION;06/05/2023;ENCONTRADO;19/05/2023
CARCHI;0,59489490;-77,82815140;79;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/03/2023;ENCONTRADO;22/03/2023
PICHINCHA;-0,29304050;-78,54975920;38;HOMBRE;FALLECIDO;NO DETERMINADA;15/03/2023;FALLECIDO;01/04/2023
AZUAY;-2,89328886;-78,99946530;23;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;19/03/2023;ENCONTRADO;22/03/2023
LOS RIOS;-1,03366350;-79,45069890;3;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;12/03/2023;ENCONTRADO;16/03/2023
MANABI;0,07311810;-80,05139280;37;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;14/01/2023;ENCONTRADO;22/03/2023
TUNGURAHUA;-1,30969307;-78,51090218;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;22/02/2023;ENCONTRADO;02/03/2023
PICHINCHA;-0,22827420;-78,50688730;68;MUJER;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;22/05/2023;ENCONTRADO;23/05/2023
GUAYAS;-2,06302898;-79,94972714;16;HOMBRE;SIN_DATO;SIN_DATO;18/03/2023;DESAPARECIDO;SIN_DATO
SUCUMBIOS;0,08180581;-76,87016405;14;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;27/02/2023;ENCONTRADO;01/03/2023
PICHINCHA;-0,33148410;-78,42545430;69;MUJER;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;13/03/2023;ENCONTRADO;24/03/2023
CARCHI;0,80437620;-77,72771434;38;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;12/05/2023;ENCONTRADO;22/05/2023
GUAYAS;-2,24380910;-79,90667630;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/03/2023;ENCONTRADO;28/03/2023
PICHINCHA;0,11666700;-79,26666700;1;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;16/01/2023;ENCONTRADO;18/05/2023
PICHINCHA;-0,20445900;-78,34269050;16;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;08/02/2023;ENCONTRADO;28/02/2023
GUAYAS;-1,79767300;-80,02628500;52;HOMBRE;SIN_DATO;SIN_DATO;29/01/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,27768447;-78,55758901;23;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;07/02/2023;ENCONTRADO;09/03/2023
AZUAY;-2,87178367;-79,06679508;64;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/01/2023;ENCONTRADO;04/03/2023
IMBABURA;0,35529730;-78,12508480;17;HOMBRE;SIN_DATO;SIN_DATO;23/02/2023;DESAPARECIDO;SIN_DATO
SUCUMBIOS;0,25123144;-76,87599213;2;MUJER;SIN_DATO;SIN_DATO;27/02/2023;DESAPARECIDO;SIN_DATO
IMBABURA;0,35529730;-78,12508480;17;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;04/02/2023;ENCONTRADO;03/03/2023
IMBABURA;0,34576683;-78,13592434;45;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;22/02/2023;ENCONTRADO;04/03/2023
GUAYAS;-2,06465120;-79,89268090;15;MUJER;SIN_DATO;SIN_DATO;02/03/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,26935613;-79,75955774;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/01/2023;ENCONTRADO;05/02/2023
PICHINCHA;-0,10443410;-78,48465480;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;27/03/2023;ENCONTRADO;27/03/2023
CARCHI;0,81992730;-77,71331504;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;12/01/2023;ENCONTRADO;16/01/2023
GUAYAS;-2,01454510;-79,92593850;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;15/01/2023;ENCONTRADO;17/01/2023
AZUAY;-2,88142599;-79,00526814;47;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;17/01/2023;ENCONTRADO;22/01/2023
TUNGURAHUA;-1,27195200;-78,62077110;12;MUJER;EXTRAVIADA;PERSONA EXTRAVIADA;16/01/2023;ENCONTRADO;19/01/2023
SUCUMBIOS;-0,18829138;-76,64215118;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;24/01/2023;ENCONTRADO;25/01/2023
EL ORO;-3,25847541;-79,95848846;22;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;08/01/2023;ENCONTRADO;26/01/2023
CARCHI;0,59489490;-77,82815140;19;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;28/01/2023;ENCONTRADO;31/01/2023
PICHINCHA;0,00152080;-78,21860450;2;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;11/03/2023;ENCONTRADO;21/03/2023
ORELLANA;-0,46167280;-76,99310740;12;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO FISICO;26/01/2023;ENCONTRADO;01/02/2023
NAPO;-0,93259508;-77,77341843;25;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;15/01/2023;ENCONTRADO;01/02/2023
GUAYAS;-2,62767924;-80,40004703;4;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO FISICO;24/01/2023;ENCONTRADO;02/02/2023
GUAYAS;-2,62767924;-80,40004703;16;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;24/01/2023;ENCONTRADO;02/02/2023
GUAYAS;-2,62767924;-80,40004703;40;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;24/01/2023;ENCONTRADO;02/02/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,21272890;-79,13695460;23;MUJER;PROBLEMAS SOCIALES;ALCOHOLISMO;29/01/2023;ENCONTRADO;01/02/2023
LOS RIOS;-0,96617922;-79,42054382;4;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;01/02/2023;ENCONTRADO;02/02/2023
LOS RIOS;-0,72860049;-79,47111598;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;21/01/2023;ENCONTRADO;02/02/2023
EL ORO;-3,24463384;-79,97215390;26;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/01/2023;ENCONTRADO;03/02/2023
GUAYAS;-2,28400980;-79,88471040;28;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/01/2023;ENCONTRADO;05/02/2023
PICHINCHA;-0,10541040;-78,51333720;14;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;01/02/2023;ENCONTRADO;04/02/2023
EL ORO;-3,25624537;-79,95379046;17;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;24/01/2023;ENCONTRADO;24/01/2023
PICHINCHA;-0,21230709;-78,50266278;11;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/01/2023;ENCONTRADO;28/01/2023
EL ORO;-3,47640684;-80,22280228;52;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;01/02/2023;ENCONTRADO;06/02/2023
EL ORO;-3,32726864;-79,79608727;40;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;28/02/2023;ENCONTRADO;09/03/2023
ESMERALDAS;1,28340478;-78,83600235;27;MUJER;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;21/01/2023;ENCONTRADO;07/02/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,23876086;-79,17232865;8;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;08/02/2023;ENCONTRADO;08/02/2023
ESMERALDAS;0,90186627;-79,68476051;14;MUJER;SIN_DATO;SIN_DATO;12/02/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;1,27566050;-78,84648800;3;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;06/02/2023;ENCONTRADO;10/02/2023
SANTA ELENA;-2,25021900;-80,92059300;1;MUJER;SIN_DATO;SIN_DATO;29/01/2023;DESAPARECIDO;SIN_DATO
MANABI;-1,03054033;-80,46416759;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;03/02/2023;ENCONTRADO;21/02/2023
EL ORO;-3,24525766;-79,95017177;25;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;31/01/2023;ENCONTRADO;01/03/2023
MANABI;-1,03371019;-80,45318127;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;22/02/2023;ENCONTRADO;23/02/2023
AZUAY;-2,91008790;-79,03496610;25;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/04/2023;ENCONTRADO;18/05/2023
GUAYAS;-2,16492510;-79,46669700;25;HOMBRE;SIN_DATO;SIN_DATO;19/04/2023;DESAPARECIDO;SIN_DATO
EL ORO;-3,26526917;-79,95803565;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;05/03/2023;ENCONTRADO;08/03/2023
GUAYAS;-2,13231860;-79,89268090;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;08/03/2023;ENCONTRADO;10/03/2023
EL ORO;-3,25099267;-79,94425940;24;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;21/04/2023;ENCONTRADO;25/04/2023
PICHINCHA;-0,12233445;-78,48502787;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;04/03/2023;ENCONTRADO;06/04/2023
MANABI;-0,95203500;-80,45919800;1;HOMBRE;SIN_DATO;SIN_DATO;25/04/2023;DESAPARECIDO;SIN_DATO
AZUAY;-2,90012850;-79,00589650;37;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;25/04/2023;ENCONTRADO;26/05/2023
NAPO;-1,05352205;-77,54830221;21;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;05/03/2023;ENCONTRADO;09/03/2023
EL ORO;-3,48133347;-80,24296706;54;HOMBRE;FALLECIDO;ACCIDENTAL;23/03/2023;FALLECIDO;25/04/2023
IMBABURA;0,34714690;-78,13236480;29;HOMBRE;PROBLEMAS SOCIALES;MIGRACION;12/02/2023;ENCONTRADO;25/04/2023
EL ORO;-3,25466457;-79,96235847;25;HOMBRE;PROBLEMA ECÓNOMICOS;DEUDAS;07/03/2023;ENCONTRADO;10/03/2023
LOJA;-4,02825950;-79,20880960;36;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/03/2023;ENCONTRADO;05/04/2023
IMBABURA;0,32813120;-78,12206000;16;HOMBRE;SIN_DATO;SIN_DATO;22/04/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;0,53336200;-79,52276880;31;HOMBRE;SIN_DATO;SIN_DATO;28/03/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;0,53336200;-79,52276880;45;HOMBRE;SIN_DATO;SIN_DATO;28/03/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,23905615;-78,51046108;18;MUJER;PROBLEMA ECÓNOMICOS;DEUDAS;31/03/2023;ENCONTRADO;28/04/2023
PICHINCHA;-0,25876763;-78,55811298;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/03/2023;ENCONTRADO;02/04/2023
GUAYAS;-2,24338650;-79,88953170;77;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;11/03/2023;ENCONTRADO;26/03/2023
PICHINCHA;-0,20617970;-78,50081360;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/03/2023;ENCONTRADO;18/03/2023
TUNGURAHUA;-1,31283750;-78,50644730;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;06/03/2023;ENCONTRADO;13/03/2023
CHIMBORAZO;-1,67127269;-78,65376100;20;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;11/03/2023;ENCONTRADO;13/03/2023
PICHINCHA;-0,18065320;-78,46783820;2;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/04/2023;ENCONTRADO;10/05/2023
GUAYAS;-2,31421989;-79,29798491;28;HOMBRE;SIN_DATO;SIN_DATO;13/03/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-1,87445000;-80,08497000;27;HOMBRE;FALLECIDO;NO DETERMINADA;10/03/2023;FALLECIDO;15/03/2023
GUAYAS;-2,16901920;-79,80584070;25;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;05/04/2023;ENCONTRADO;02/05/2023
PICHINCHA;-0,28036920;-78,54124030;34;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;02/02/2023;ENCONTRADO;30/03/2023
PICHINCHA;-0,14075410;-78,47945680;17;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/02/2023;ENCONTRADO;15/03/2023
EL ORO;-3,47024269;-79,90476608;23;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;07/03/2023;ENCONTRADO;10/05/2023
GUAYAS;-2,14213890;-79,59145211;25;HOMBRE;FALLECIDO;ACCIDENTAL;28/04/2023;FALLECIDO;01/05/2023
IMBABURA;0,36012314;-78,09260654;1;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;04/04/2023;ENCONTRADO;04/04/2023
CARCHI;0,80455043;-77,72784233;26;HOMBRE;SIN_DATO;SIN_DATO;14/05/2023;DESAPARECIDO;SIN_DATO
IMBABURA;0,34548863;-78,12106301;16;HOMBRE;SIN_DATO;SIN_DATO;01/04/2023;DESAPARECIDO;SIN_DATO
EL ORO;-3,25881966;-79,95932310;20;HOMBRE;SIN_DATO;SIN_DATO;30/04/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,11145130;-78,43224600;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;03/04/2023;ENCONTRADO;07/04/2023
AZUAY;-2,97958300;-79,68489090;20;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;11/01/2023;ENCONTRADO;30/05/2023
PICHINCHA;-0,23319620;-78,53230210;1;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;17/04/2023;ENCONTRADO;05/05/2023
SANTA ELENA;-1,75968230;-80,76995520;81;MUJER;SIN_DATO;SIN_DATO;23/04/2023;DESAPARECIDO;SIN_DATO
COTOPAXI;-0,93407611;-78,61441012;12;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/05/2023;ENCONTRADO;16/05/2023
GUAYAS;-2,16212729;-79,84351450;14;MUJER;SIN_DATO;SIN_DATO;04/04/2023;DESAPARECIDO;SIN_DATO
MANABI;-0,96764050;-80,67714870;30;HOMBRE;SIN_DATO;SIN_DATO;18/05/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,19436300;-79,90230820;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/05/2023;ENCONTRADO;16/05/2023
CARCHI;0,82232453;-77,70438416;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;17/04/2023;ENCONTRADO;03/05/2023
GUAYAS;-2,24298500;-79,91892040;22;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/01/2023;ENCONTRADO;06/04/2023
PICHINCHA;0,00456850;-78,44677450;14;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;18/02/2023;ENCONTRADO;06/04/2023
GUAYAS;-2,14728668;-79,88481739;26;HOMBRE;PROBLEMAS SOCIALES;MIGRACION;10/03/2023;ENCONTRADO;10/05/2023
GUAYAS;-2,14728668;-79,88481739;25;MUJER;PROBLEMAS SOCIALES;MIGRACION;10/03/2023;ENCONTRADO;10/05/2023
GUAYAS;-2,14728668;-79,88481739;6;MUJER;PROBLEMAS SOCIALES;MIGRACION;10/03/2023;ENCONTRADO;10/05/2023
PICHINCHA;-0,25822610;-78,52603020;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;21/04/2023;ENCONTRADO;04/05/2023
PICHINCHA;-0,10138997;-78,46988352;39;MUJER;SIN_DATO;SIN_DATO;20/04/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,15560200;-78,37284560;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;11/04/2023;ENCONTRADO;02/05/2023
GUAYAS;-2,18368510;-79,51464410;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;04/05/2023;ENCONTRADO;18/05/2023
GUAYAS;-2,12879680;-79,60396830;18;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;04/05/2023;ENCONTRADO;06/05/2023
EL ORO;-3,26935304;-79,95556263;11;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;06/04/2023;ENCONTRADO;07/04/2023
GUAYAS;-2,17909130;-79,87623350;30;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;04/05/2023;ENCONTRADO;20/05/2023
PICHINCHA;-0,25000000;-78,50000000;55;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;04/05/2023;ENCONTRADO;05/05/2023
GUAYAS;-2,26153030;-79,88323280;69;HOMBRE;SIN_DATO;SIN_DATO;02/05/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,27976770;-78,51496910;28;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;05/05/2023;ENCONTRADO;19/05/2023
PICHINCHA;-0,27976770;-78,51496910;10;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;05/05/2023;ENCONTRADO;19/05/2023
PICHINCHA;-0,27976770;-78,51496910;3;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;05/05/2023;ENCONTRADO;19/05/2023
CARCHI;0,81953620;-77,71373200;17;MUJER;SIN_DATO;SIN_DATO;01/05/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;0,61161370;-80,02065500;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;02/05/2023;ENCONTRADO;05/06/2023
GUAYAS;-2,09730520;-79,59305380;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;05/05/2023;ENCONTRADO;06/05/2023
IMBABURA;0,33923300;-78,16784390;12;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;03/05/2023;ENCONTRADO;12/05/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,21272890;-79,13695460;21;HOMBRE;FALLECIDO;NO DETERMINADA;29/04/2023;FALLECIDO;02/05/2023
CHIMBORAZO;-1,64397070;-78,68253594;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;03/05/2023;ENCONTRADO;03/05/2023
CHIMBORAZO;-1,64327766;-78,67986297;34;MUJER;PROBLEMAS SOCIALES;ALCOHOLISMO;02/05/2023;ENCONTRADO;05/05/2023
ESMERALDAS;0,91509232;-79,70023081;17;MUJER;SIN_DATO;SIN_DATO;02/05/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,10818510;-78,45857230;33;HOMBRE;PROBLEMAS PSICOLÓGICOS;DEPRESION;05/05/2023;ENCONTRADO;09/05/2023
GUAYAS;-2,71068857;-80,24733570;43;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;28/04/2023;ENCONTRADO;07/05/2023
EL ORO;-3,23853845;-79,95169898;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/04/2023;ENCONTRADO;08/05/2023
EL ORO;-3,33013517;-79,81085658;29;HOMBRE;EXTRAVIADA;ACCIDENTADO;29/04/2023;ENCONTRADO;04/05/2023
LOS RIOS;-1,78459374;-79,67881827;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;05/05/2023;ENCONTRADO;06/05/2023
EL ORO;-3,24271745;-79,95290176;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;03/05/2023;ENCONTRADO;06/05/2023
PICHINCHA;-0,31549950;-78,55046910;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;05/05/2023;ENCONTRADO;08/05/2023
PICHINCHA;-0,11355410;-78,41633630;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;05/05/2023;ENCONTRADO;05/06/2023
GUAYAS;-2,18941280;-79,88906620;14;NO DETERMINADO;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;05/05/2023;ENCONTRADO;17/05/2023
GUAYAS;-2,18941280;-79,88906620;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;05/05/2023;ENCONTRADO;17/05/2023
GUAYAS;-2,11606065;-79,99900818;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;05/05/2023;ENCONTRADO;07/05/2023
GUAYAS;-2,07215490;-79,93451410;21;HOMBRE;FALLECIDO;NO DETERMINADA;05/05/2023;FALLECIDO;10/05/2023
TUNGURAHUA;-1,29235964;-78,64467075;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/05/2023;ENCONTRADO;04/05/2023
GUAYAS;-2,19787690;-79,93289460;25;MUJER;SIN_DATO;SIN_DATO;31/05/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,20000802;-79,90228108;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;06/05/2023;ENCONTRADO;07/05/2023
PICHINCHA;-0,23074570;-78,44928810;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;07/05/2023;ENCONTRADO;09/05/2023
PICHINCHA;-0,26677670;-78,53801250;24;HOMBRE;SIN_DATO;SIN_DATO;06/05/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,25848100;-78,55300440;16;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;06/05/2023;ENCONTRADO;07/05/2023
PICHINCHA;-0,25848100;-78,55300440;18;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;06/05/2023;ENCONTRADO;07/05/2023
PICHINCHA;-0,24335990;-78,52307450;31;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;06/05/2023;ENCONTRADO;07/05/2023
PICHINCHA;-0,09526760;-78,51837790;60;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;06/05/2023;ENCONTRADO;07/05/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,25218820;-79,18793830;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;02/05/2023;ENCONTRADO;23/05/2023
PICHINCHA;-0,21820100;-78,43767180;60;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;07/05/2023;ENCONTRADO;08/05/2023
